EnsEMBL_Gene_ID	184B5
ENSG00000000003	95.6986763046
ENSG00000001167	94.1543748246
ENSG00000005471	0.1727337258
ENSG00000066629	7.6338692104
ENSG00000154258	2.6834983586
ENSG00000154262	0.4447467103
ENSG00000154263	2.6767223234
ENSG00000154265	28.2493033303
ENSG00000154269	0.4470919354
ENSG00000154274	3.1907763907
ENSG00000154277	4.1465730917
ENSG00000154305	41.1922961485
ENSG00000154309	8.8408127572
ENSG00000154310	18.5498032691
ENSG00000066651	27.9808997451
ENSG00000154316	0.0000000000
ENSG00000154319	3.3986132581
ENSG00000154328	41.3224311867
ENSG00000154330	0.0000000000
ENSG00000154342	0.0000000000
ENSG00000154358	8.8209282612
ENSG00000154359	11.8164973947
ENSG00000154370	86.9509620624
ENSG00000154380	77.2442957982
ENSG00000154415	0.0000000000
ENSG00000066654	50.6950611417
ENSG00000154429	22.0708393688
ENSG00000154438	0.0000000000
ENSG00000154447	32.6029272954
ENSG00000154451	0.1944986439
ENSG00000154473	455.3514968334
ENSG00000154474	0.0000000000
ENSG00000154478	0.0000000000
ENSG00000154479	0.7558632814
ENSG00000154485	0.0000000000
ENSG00000154493	0.1016344586
ENSG00000066697	16.0188032966
ENSG00000154511	73.1571764426
ENSG00000154518	872.2381370812
ENSG00000154529	3.4012452025
ENSG00000154537	0.6710480278
ENSG00000154545	0.0000000000
ENSG00000154548	0.5766320931
ENSG00000154553	0.0000000000
ENSG00000154556	0.3290554034
ENSG00000154582	488.9499691022
ENSG00000154589	0.0000000000
ENSG00000066735	0.2012800015
ENSG00000154608	0.1298444640
ENSG00000154611	0.0000000000
ENSG00000154620	0.0000000000
ENSG00000154639	10.5673797807
ENSG00000154640	243.3201144580
ENSG00000154642	51.3584493023
ENSG00000154645	1.9687216463
ENSG00000154646	0.1276627955
ENSG00000154654	0.7197368509
ENSG00000154655	0.0000000000
ENSG00000066739	22.9731533090
ENSG00000154678	0.2549277123
ENSG00000154710	107.3785746404
ENSG00000154719	137.9863959083
ENSG00000154721	0.7992141850
ENSG00000154723	504.5550674496
ENSG00000154727	26.2378001332
ENSG00000154734	0.6026371635
ENSG00000154736	0.0260377910
ENSG00000154743	19.3198925342
ENSG00000154760	0.1408215231
ENSG00000066777	104.3103471191
ENSG00000154764	20.6352683892
ENSG00000154767	256.9792084840
ENSG00000154768	1.3587103950
ENSG00000154781	50.8328831157
ENSG00000154783	0.0000000000
