EnsEMBL_Gene_ID	21MT1
ENSG00000000003	19.9946736268
ENSG00000001167	245.4335413940
ENSG00000005471	0.2317619739
ENSG00000066629	5.8421317421
ENSG00000154258	0.0000000000
ENSG00000154262	0.0000000000
ENSG00000154263	2.0474961737
ENSG00000154265	0.6185102801
ENSG00000154269	0.0000000000
ENSG00000154274	0.4498381551
ENSG00000154277	1242.6146956520
ENSG00000154305	32.7873113791
ENSG00000154309	8.5637645633
ENSG00000154310	1.5758120249
ENSG00000066651	52.7020199950
ENSG00000154316	0.0000000000
ENSG00000154319	1.7835887825
ENSG00000154328	34.2073968772
ENSG00000154330	0.0000000000
ENSG00000154342	0.3166664229
ENSG00000154358	33.3410296450
ENSG00000154359	2.5272788837
ENSG00000154370	192.4220382307
ENSG00000154380	66.5260463880
ENSG00000154415	0.0000000000
ENSG00000066654	51.8848487295
ENSG00000154429	16.5035890320
ENSG00000154438	0.0000000000
ENSG00000154447	62.4443485413
ENSG00000154451	2.2100990810
ENSG00000154473	697.3567769267
ENSG00000154474	0.0000000000
ENSG00000154478	0.0000000000
ENSG00000154479	1.3860391955
ENSG00000154485	0.0000000000
ENSG00000154493	3.7641425500
ENSG00000066697	60.1621171153
ENSG00000154511	3.0387110113
ENSG00000154518	633.3967899280
ENSG00000154529	0.2901389471
ENSG00000154537	1.9690170289
ENSG00000154545	0.0000000000
ENSG00000154548	0.5123549624
ENSG00000154553	37.9961243821
ENSG00000154556	31.9829602051
ENSG00000154582	136.0196091706
ENSG00000154589	0.0000000000
ENSG00000066735	12.4452923021
ENSG00000154608	0.1283698144
ENSG00000154611	0.0000000000
ENSG00000154620	0.0000000000
ENSG00000154639	15.2577056576
ENSG00000154640	46.3634336892
ENSG00000154642	4.6551024379
ENSG00000154645	0.1557090226
ENSG00000154646	0.1262129232
ENSG00000154654	0.0000000000
ENSG00000154655	0.0000000000
ENSG00000066739	11.2506718618
ENSG00000154678	0.0000000000
ENSG00000154710	25.5475981704
ENSG00000154719	74.2378104761
ENSG00000154721	0.3954284293
ENSG00000154723	258.9552263464
ENSG00000154727	9.1809421166
ENSG00000154734	23.7221494309
ENSG00000154736	0.0000000000
ENSG00000154743	53.1669993581
ENSG00000154760	25.0077525279
ENSG00000066777	34.6279039305
ENSG00000154764	52.3529855675
ENSG00000154767	135.4387107187
ENSG00000154768	0.2258611477
ENSG00000154781	47.1241896031
ENSG00000154783	0.0415085282
ENSG00000154803	73.5619200583
ENSG00000154813	178.5445134533
ENSG00000154814	82.1866618649
ENSG00000154822	2.8677061276
ENSG00000154832	317.4932603463
ENSG00000066813	0.0000000000
