EnsEMBL_Gene_ID	21NT
ENSG00000000003	44.0577455869
ENSG00000001167	286.0924190939
ENSG00000005471	0.0000000000
ENSG00000066629	5.1491790309
ENSG00000154258	0.0000000000
ENSG00000154262	0.0000000000
ENSG00000154263	4.6245285398
ENSG00000154265	1.5362672590
ENSG00000154269	0.0611689525
ENSG00000154274	0.5596355795
ENSG00000154277	992.1383293087
ENSG00000154305	56.4112907738
ENSG00000154309	9.4495540450
ENSG00000154310	1.6437839413
ENSG00000066651	87.6956092965
ENSG00000154316	0.0000000000
ENSG00000154319	1.4840528944
ENSG00000154328	31.2961105140
ENSG00000154330	0.1033906089
ENSG00000154342	0.1316008706
ENSG00000154358	48.2590817890
ENSG00000154359	4.2491228009
ENSG00000154370	171.7061264332
ENSG00000154380	95.1001416260
ENSG00000154415	0.0000000000
ENSG00000066654	39.6052402879
ENSG00000154429	28.8481850845
ENSG00000154438	0.0000000000
ENSG00000154447	58.5409304468
ENSG00000154451	5.4911591064
ENSG00000154473	729.3669892304
ENSG00000154474	0.0000000000
ENSG00000154478	0.0000000000
ENSG00000154479	0.6226316892
ENSG00000154485	0.0000000000
ENSG00000154493	1.9963473132
ENSG00000066697	33.6318308856
ENSG00000154511	9.3226699742
ENSG00000154518	594.3869283667
ENSG00000154529	0.4821457380
ENSG00000154537	0.2748246101
ENSG00000154545	0.0000000000
ENSG00000154548	0.3132130519
ENSG00000154553	59.6608128642
ENSG00000154556	52.0576093661
ENSG00000154582	194.1222485012
ENSG00000154589	0.0000000000
ENSG00000066735	2.3668923136
ENSG00000154608	0.3170179143
ENSG00000154611	0.0000000000
ENSG00000154620	0.0000000000
ENSG00000154639	18.1613877982
ENSG00000154640	40.2430185382
ENSG00000154642	11.1791183761
ENSG00000154645	0.3845339329
ENSG00000154646	0.4182696505
ENSG00000154654	0.2349599414
ENSG00000154655	0.0000000000
ENSG00000066739	12.9888613017
ENSG00000154678	0.1045026800
ENSG00000154710	46.4877206040
ENSG00000154719	120.6294631386
ENSG00000154721	0.5219677805
ENSG00000154723	298.6048298562
ENSG00000154727	18.0804086092
ENSG00000154734	7.5232137125
ENSG00000154736	0.0000000000
ENSG00000154743	61.0049637548
ENSG00000154760	27.3964246811
ENSG00000066777	62.3057342820
ENSG00000154764	17.8629575417
ENSG00000154767	122.3415095565
ENSG00000154768	1.3026846454
ENSG00000154781	49.8743890101
ENSG00000154783	0.8227102499
ENSG00000154803	63.1412687906
ENSG00000154813	181.8303105613
ENSG00000154814	73.3426259738
ENSG00000154822	0.7320387595
ENSG00000154832	239.3563156619
ENSG00000066813	0.0000000000
ENSG00000154839	27.7975567604
ENSG00000154845	105.0609890156
ENSG00000154856	0.0000000000
ENSG00000154864	0.0000000000
ENSG00000154874	4.8988756470
ENSG00000154889	23.3678772566
ENSG00000154898	1.2753491427
ENSG00000154914	70.5098810229
ENSG00000154917	5.6727239153
ENSG00000154920	74.9775023292
ENSG00000066827	30.5782730519
ENSG00000154928	0.1708073274
ENSG00000154930	0.1713763058
ENSG00000154945	55.1664693686
ENSG00000154957	9.6013806404
ENSG00000154975	0.0000000000
ENSG00000154978	289.5197425187
ENSG00000154997	0.8083546589
ENSG00000154999	62.3038270512
ENSG00000155008	15.7846250937
ENSG00000155011	0.0000000000
ENSG00000066855	134.9564122263
ENSG00000155016	0.6904751361
ENSG00000155026	0.1197559753
ENSG00000155034	120.5550316495
ENSG00000155052	0.0000000000
ENSG00000155066	1055.5361501451
ENSG00000155070	0.5137866212
ENSG00000155085	3.5973998798
ENSG00000155087	0.0000000000
ENSG00000155090	180.0259258420
ENSG00000155093	0.0000000000
ENSG00000005483	111.6011176507
ENSG00000066923	1.9226783772
ENSG00000155096	216.5910576456
ENSG00000155097	57.4328990502
ENSG00000155099	20.1119534826
ENSG00000155100	18.9241493255
ENSG00000155111	38.8617031197
ENSG00000155115	320.8671079488
ENSG00000155130	4.7625301059
ENSG00000155158	3.4537515826
ENSG00000155189	31.2300285703
ENSG00000155229	286.3841774985
ENSG00000066926	80.7399589929
ENSG00000155249	0.0000000000
ENSG00000155252	3.0108106306
ENSG00000155254	327.4111929159
ENSG00000155256	98.9384815447
ENSG00000155265	1.9315592844
ENSG00000155269	0.3967169075
ENSG00000155275	26.6096025634
ENSG00000155282	0.0000000000
ENSG00000155287	177.0043288339
ENSG00000155304	34.5006289310
ENSG00000066933	15.2715966637
ENSG00000155307	8.7029624624
ENSG00000155313	32.5279857818
ENSG00000155319	0.0000000000
ENSG00000155324	21.2833860986
ENSG00000155329	11.9018551732
ENSG00000155330	12.9465641152
ENSG00000155352	49.8465081381
ENSG00000155363	245.3484691110
ENSG00000155366	1481.6156189788
ENSG00000155367	15.2474746039
ENSG00000067048	0.0000000000
ENSG00000155368	1143.4007529524
ENSG00000155372	0.0000000000
ENSG00000155380	227.8613420639
ENSG00000155393	30.4297692589
ENSG00000155428	0.5229327557
ENSG00000155438	98.7976564053
ENSG00000155463	587.4633688545
ENSG00000155465	6.8615379016
ENSG00000155495	0.0000000000
ENSG00000155506	650.5450254815
ENSG00000067057	1542.3191348546
ENSG00000155508	74.4686143464
ENSG00000155511	0.0000000000
ENSG00000155530	0.3554398290
ENSG00000155542	7.3198614091
ENSG00000155545	7.1999760717
ENSG00000155561	83.6829687049
ENSG00000155592	9.7788696608
ENSG00000155621	23.6104729319
ENSG00000155622	0.0000000000
ENSG00000155629	0.4575340939
ENSG00000067064	224.3372429114
ENSG00000155636	18.2466885057
ENSG00000155640	13.0538059344
ENSG00000155657	0.5874697822
ENSG00000155659	0.0000000000
ENSG00000155660	519.9609669325
ENSG00000155666	9.9581832948
ENSG00000155714	0.0000000000
ENSG00000155719	0.2487489555
ENSG00000155729	31.5394892061
ENSG00000155744	9.3719534639
ENSG00000067066	26.2038821698
ENSG00000155749	0.2672117400
ENSG00000155754	1.3158377401
ENSG00000155755	12.4716846229
ENSG00000155760	125.6557207077
ENSG00000155761	0.0000000000
ENSG00000155792	14.6442980881
ENSG00000155816	0.0000000000
ENSG00000155827	44.5529277034
ENSG00000155833	0.0000000000
ENSG00000155846	17.0991674361
ENSG00000067082	317.2047361266
ENSG00000155849	0.2743036156
ENSG00000155850	28.3560544575
ENSG00000155858	9.0250044206
ENSG00000155868	19.6634755852
ENSG00000155875	0.0999621121
ENSG00000155876	497.1517161856
ENSG00000155886	0.1737297400
ENSG00000155890	0.0000000000
ENSG00000155893	101.4757971144
ENSG00000155897	0.0000000000
ENSG00000067113	6.1675287425
ENSG00000155903	12.9483736643
ENSG00000155906	49.5958163291
ENSG00000155918	5.0001336376
