EnsEMBL_Gene_ID	BT483
ENSG00000000003	69.0925813782
ENSG00000001167	152.7524214499
ENSG00000005471	1.6708073378
ENSG00000066629	135.1000744125
ENSG00000154258	0.0000000000
ENSG00000154262	0.0000000000
ENSG00000154263	0.7225527765
ENSG00000154265	5.1563797374
ENSG00000154269	1.2193415151
ENSG00000154274	50.5879627956
ENSG00000154277	30.2004791991
ENSG00000154305	134.2384396793
ENSG00000154309	10.2534929262
ENSG00000154310	2.1326544022
ENSG00000066651	13.3369462986
ENSG00000154316	2.4516650512
ENSG00000154319	19.8354211189
ENSG00000154328	59.2913392248
ENSG00000154330	19.0139678919
ENSG00000154342	8.3653190800
ENSG00000154358	14.8086625924
ENSG00000154359	25.9656377094
ENSG00000154370	197.9224812578
ENSG00000154380	347.6103047459
ENSG00000154415	0.0000000000
ENSG00000066654	102.8997636085
ENSG00000154429	33.8050973375
ENSG00000154438	0.0000000000
ENSG00000154447	60.7962521438
ENSG00000154451	0.1587862567
ENSG00000154473	390.5899028583
ENSG00000154474	0.7783446842
ENSG00000154478	1.0482174651
ENSG00000154479	2.9174109004
ENSG00000154485	0.0000000000
ENSG00000154493	0.0000000000
ENSG00000066697	26.3401868769
ENSG00000154511	7.9938573869
ENSG00000154518	268.6906926409
ENSG00000154529	0.0538552463
ENSG00000154537	0.0000000000
ENSG00000154545	0.0000000000
ENSG00000154548	0.6386813336
ENSG00000154553	122.5828308583
ENSG00000154556	7.3864491133
ENSG00000154582	1091.2135162344
ENSG00000154589	0.0000000000
ENSG00000066735	8.8474678433
ENSG00000154608	0.4240135765
ENSG00000154611	0.0000000000
ENSG00000154620	0.0000000000
ENSG00000154639	21.9578242599
ENSG00000154640	39.1215325774
ENSG00000154642	5.4217149509
ENSG00000154645	0.0000000000
ENSG00000154646	0.0000000000
ENSG00000154654	44.6301363994
ENSG00000154655	0.0503641061
ENSG00000066739	64.0129054959
ENSG00000154678	0.0000000000
ENSG00000154710	87.2170909550
ENSG00000154719	86.4890859312
ENSG00000154721	0.8577454772
ENSG00000154723	171.9906358422
ENSG00000154727	23.1091886614
ENSG00000154734	24.1801929061
ENSG00000154736	0.0000000000
ENSG00000154743	30.9865976912
ENSG00000154760	20.1387775214
ENSG00000066777	292.3704141281
ENSG00000154764	0.2231601520
ENSG00000154767	105.5883411370
ENSG00000154768	0.0000000000
ENSG00000154781	43.5345668752
ENSG00000154783	0.5808934284
ENSG00000154803	33.1223749089
ENSG00000154813	45.0771378505
ENSG00000154814	20.9097473272
ENSG00000154822	0.2746487114
ENSG00000154832	121.3067090108
ENSG00000066813	0.0000000000
ENSG00000154839	39.4211145138
ENSG00000154845	96.3799512458
ENSG00000154856	2.3123600124
ENSG00000154864	0.5824453044
ENSG00000154874	1.2041658181
ENSG00000154889	38.7861244941
ENSG00000154898	0.1679062464
ENSG00000154914	36.3435677339
ENSG00000154917	13.0569637310
ENSG00000154920	46.6363131337
ENSG00000066827	27.6573326713
ENSG00000154928	3.7750400382
ENSG00000154930	287.2631592640
ENSG00000154945	149.6049134280
ENSG00000154957	16.7553917195
ENSG00000154975	0.0000000000
ENSG00000154978	406.8167755193
ENSG00000154997	1.8977673486
ENSG00000154999	201.9969863426
ENSG00000155008	46.4016505908
ENSG00000155011	0.0000000000
ENSG00000066855	137.2285317436
ENSG00000155016	16.7052739653
ENSG00000155026	0.5928773746
ENSG00000155034	130.5095148112
ENSG00000155052	0.0000000000
ENSG00000155066	238.9230174896
ENSG00000155070	2.0348877774
ENSG00000155085	8.1844382595
ENSG00000155087	0.3936338934
ENSG00000155090	154.0846694915
ENSG00000155093	37.4168034242
ENSG00000005483	126.9462820395
ENSG00000066923	2.0408125504
ENSG00000155096	621.9851743766
ENSG00000155097	236.5998764327
ENSG00000155099	22.8578666240
ENSG00000155100	51.7956255177
ENSG00000155111	18.7038389619
ENSG00000155115	120.1867428191
ENSG00000155130	46.7166220506
ENSG00000155158	65.2305080731
ENSG00000155189	26.0158458115
ENSG00000155229	195.1835771401
ENSG00000066926	161.3466554490
ENSG00000155249	0.0000000000
ENSG00000155252	1.8840252452
ENSG00000155254	35.0883998701
ENSG00000155256	97.8464896437
ENSG00000155265	43.4161840872
ENSG00000155269	0.0000000000
ENSG00000155275	39.0499231454
ENSG00000155282	0.0000000000
ENSG00000155287	70.3377152961
ENSG00000155304	59.8334691881
ENSG00000066933	22.8506253057
ENSG00000155307	0.0000000000
ENSG00000155313	39.2959877803
ENSG00000155319	0.0000000000
ENSG00000155324	34.1528713403
ENSG00000155329	28.6397233001
ENSG00000155330	49.2177768746
ENSG00000155352	74.9846709940
ENSG00000155363	176.0324823734
ENSG00000155366	943.0364473136
ENSG00000155367	143.8766253529
ENSG00000067048	0.0000000000
ENSG00000155368	452.1846664378
ENSG00000155372	0.1003078544
ENSG00000155380	10.5559378550
ENSG00000155393	65.2968828901
ENSG00000155428	0.7843242295
ENSG00000155438	99.9792501807
ENSG00000155463	439.2007452416
ENSG00000155465	0.9346317522
ENSG00000155495	0.4480937621
ENSG00000155506	508.9010474629
ENSG00000067057	681.1198232686
ENSG00000155508	136.8344598518
ENSG00000155511	0.0000000000
ENSG00000155530	4.0528992627
ENSG00000155542	18.6369122521
ENSG00000155545	63.4589460042
ENSG00000155561	225.8537262159
ENSG00000155592	26.8384931694
ENSG00000155621	18.3662766122
ENSG00000155622	0.0000000000
ENSG00000155629	0.4170220274
ENSG00000067064	441.2083565353
ENSG00000155636	44.5059310869
ENSG00000155640	14.8176034618
ENSG00000155657	0.5935045300
ENSG00000155659	0.0000000000
ENSG00000155660	815.3112633046
ENSG00000155666	9.6827879429
ENSG00000155714	0.2898118416
ENSG00000155719	0.2976243040
ENSG00000155729	44.8720062308
ENSG00000155744	24.3069247445
ENSG00000067066	40.0038853725
ENSG00000155749	1.4169215650
ENSG00000155754	0.0000000000
ENSG00000155755	23.7510760728
ENSG00000155760	63.5549072693
ENSG00000155761	1.7825860716
ENSG00000155792	65.4053551338
ENSG00000155816	0.3750738820
ENSG00000155827	200.3172078840
ENSG00000155833	0.0000000000
ENSG00000155846	5.5276454384
ENSG00000067082	311.4273646109
ENSG00000155849	0.0000000000
ENSG00000155850	11.8384413797
ENSG00000155858	18.4341942187
ENSG00000155868	56.9418328511
ENSG00000155875	0.1966425112
ENSG00000155876	245.2464067872
ENSG00000155886	0.0000000000
ENSG00000155890	0.0000000000
ENSG00000155893	47.7303522566
ENSG00000155897	0.0000000000
ENSG00000067113	19.5269300201
ENSG00000155903	16.8700454653
ENSG00000155906	249.6121022181
ENSG00000155918	0.0000000000
ENSG00000155926	0.2232038966
ENSG00000155957	163.4458572712
ENSG00000155959	147.4265329727
ENSG00000155961	10.6829479696
ENSG00000155962	1.8337409275
ENSG00000155966	0.1107183860
ENSG00000155970	0.4789657965
ENSG00000067141	102.2546343288
ENSG00000155974	27.9917997305
ENSG00000155975	69.8944924531
ENSG00000155980	18.7908761247
ENSG00000155984	147.1263741732
ENSG00000156006	0.5840247743
ENSG00000156009	1.0800739233
ENSG00000156011	64.6122299230
ENSG00000156017	16.4316051382
ENSG00000156026	59.2499966287
ENSG00000156030	61.8480548403
ENSG00000005486	633.5775289199
ENSG00000067167	375.4077856053
ENSG00000156035	1.5261123565
ENSG00000156042	4.2601340917
ENSG00000156049	3.8660652046
ENSG00000156050	10.9869735702
ENSG00000156052	182.2633310030
ENSG00000156076	2.3851583727
ENSG00000156096	0.0000000000
ENSG00000156097	0.1326460430
ENSG00000156103	5.4103413085
ENSG00000156110	141.4297958101
ENSG00000067177	28.4522493279
ENSG00000156113	8.9563798766
ENSG00000156127	104.7620831403
ENSG00000156136	43.1682666592
ENSG00000156140	0.0330338699
ENSG00000156150	8.7031119383
ENSG00000156162	74.1834943208
ENSG00000156170	63.9391234907
ENSG00000156171	108.1618375993
ENSG00000156172	20.5948172082
ENSG00000156194	1.7473460622
ENSG00000067182	344.5047426440
ENSG00000156206	0.2443331092
ENSG00000156218	1.2393395370
ENSG00000156219	0.1235004219
ENSG00000156222	0.0000000000
ENSG00000156232	23.3275828041
ENSG00000156234	0.0000000000
ENSG00000156239	29.2247338081
ENSG00000156253	30.2269591860
ENSG00000156256	79.6608499477
ENSG00000156261	627.0462072098
ENSG00000067191	16.9492883078
ENSG00000156265	0.0604384018
ENSG00000156269	0.0000000000
ENSG00000156273	17.1579973707
ENSG00000156282	0.0000000000
ENSG00000156284	6.0378189226
ENSG00000156298	1.2912858233
ENSG00000156299	71.8086234991
ENSG00000156304	113.5886995864
ENSG00000156313	12.4333000543
ENSG00000156345	74.3026455603
ENSG00000067208	15.0017595132
ENSG00000156363	0.0000000000
ENSG00000156374	27.1742482868
ENSG00000156381	18.2275433597
ENSG00000156384	6.1918789346
ENSG00000156395	0.0000000000
ENSG00000156398	169.7426670430
ENSG00000156411	516.4279306774
ENSG00000156413	0.6621739629
ENSG00000156414	0.2815964641
ENSG00000156427	0.8756869414
ENSG00000067221	48.3491331861
ENSG00000156453	197.6365871437
ENSG00000156463	10.1281199190
ENSG00000156466	4.7121088596
ENSG00000156467	1137.7635661256
ENSG00000156469	76.2523740582
ENSG00000156471	499.9410861992
ENSG00000156475	0.1323400942
ENSG00000156482	10976.7002331337
ENSG00000156486	0.2408507991
ENSG00000156500	1.2502610983
ENSG00000067225	4396.3944175855
ENSG00000156502	90.7685444693
ENSG00000156504	82.9194846114
ENSG00000156508	2678.2852820067
ENSG00000156509	2.6568346526
ENSG00000156510	0.0000000000
ENSG00000156515	1006.1285952752
ENSG00000156521	73.5176181376
ENSG00000156531	31.8877058948
ENSG00000156535	7.9144680117
ENSG00000156564	1.8853047669
ENSG00000067248	141.4159133544
ENSG00000156574	2.4100852606
ENSG00000156575	0.0000000000
ENSG00000156577	0.0000000000
ENSG00000156587	605.9670076767
ENSG00000156599	233.8952928190
ENSG00000156603	62.7446369747
ENSG00000156639	453.7718771012
ENSG00000156642	377.5308309225
ENSG00000156650	189.0010415933
ENSG00000156671	24.0091759275
ENSG00000067334	201.9999555184
ENSG00000156675	4992.8380477996
ENSG00000156687	0.0000000000
ENSG00000156689	0.0000000000
ENSG00000156697	93.7810001916
ENSG00000156709	300.3546885116
ENSG00000156711	412.2697745583
ENSG00000156735	58.8476446334
ENSG00000156738	0.0000000000
ENSG00000156750	0.0000000000
ENSG00000156755	0.0000000000
ENSG00000067365	81.3494370717
ENSG00000156787	33.6085846489
ENSG00000156795	101.9861585063
ENSG00000156802	309.2612945867
ENSG00000156804	47.8736713952
ENSG00000156831	247.5208129468
ENSG00000156853	30.3998120046
ENSG00000156858	126.6248575092
ENSG00000156860	224.4693947567
ENSG00000156869	17.4528730946
ENSG00000156873	165.0872118043
ENSG00000005513	26.4916945887
ENSG00000067369	149.8006235017
ENSG00000156875	118.3891300717
ENSG00000156876	14.9281132906
ENSG00000156885	5.5984619745
ENSG00000156886	0.1917150119
ENSG00000156920	0.0000000000
ENSG00000156925	0.8454424538
ENSG00000156928	148.5674368584
ENSG00000156931	71.4688810488
ENSG00000156958	19.2339870774
ENSG00000156959	0.0000000000
ENSG00000067445	1.0106638615
ENSG00000156966	6.0098331828
ENSG00000156968	58.1030647134
ENSG00000156970	92.5502711247
ENSG00000156973	87.4668951600
ENSG00000156976	476.3325013769
ENSG00000156983	83.1535271786
ENSG00000156990	144.0689077976
ENSG00000157005	0.0000000000
ENSG00000157014	107.2940038982
ENSG00000157017	1.8976002328
ENSG00000067533	50.6782089713
ENSG00000157020	257.9157526246
ENSG00000157021	8.0400162918
ENSG00000157033	0.0000000000
ENSG00000157036	10.2897389148
ENSG00000157045	201.7629772867
ENSG00000157060	0.0000000000
ENSG00000157064	16.8317334877
ENSG00000157077	36.0278106807
ENSG00000157087	0.0809621390
