EnsEMBL_Gene_ID	CAMA1
ENSG00000000003	21.1598896533
ENSG00000001167	381.1349474963
ENSG00000005471	0.8801682893
ENSG00000066629	4.3341338195
ENSG00000154258	0.0312396434
ENSG00000154262	0.0000000000
ENSG00000154263	0.7370814775
ENSG00000154265	4.5290810711
ENSG00000154269	0.2496001944
ENSG00000154274	8.7562172838
ENSG00000154277	0.2432854354
ENSG00000154305	70.3636474548
ENSG00000154309	23.4359735732
ENSG00000154310	19.5684348627
ENSG00000066651	22.0732743320
ENSG00000154316	0.0000000000
ENSG00000154319	0.5016031911
ENSG00000154328	26.2700737906
ENSG00000154330	0.2109429295
ENSG00000154342	0.0000000000
ENSG00000154358	19.2458960957
ENSG00000154359	19.1264941354
ENSG00000154370	62.3942499541
ENSG00000154380	236.1340556851
ENSG00000154415	0.0000000000
ENSG00000066654	97.6206579799
ENSG00000154429	49.1539941954
ENSG00000154438	0.0000000000
ENSG00000154447	168.5754675710
ENSG00000154451	0.0823283878
ENSG00000154473	413.5241357673
ENSG00000154474	1.6731519523
ENSG00000154478	0.0523848159
ENSG00000154479	1.4446373629
ENSG00000154485	0.0000000000
ENSG00000154493	0.0000000000
ENSG00000066697	36.2187095839
ENSG00000154511	12.1447301239
ENSG00000154518	499.4014924056
ENSG00000154529	0.0000000000
ENSG00000154537	0.0000000000
ENSG00000154545	0.0000000000
ENSG00000154548	0.5954430630
ENSG00000154553	51.3448950685
ENSG00000154556	0.0549901518
ENSG00000154582	879.0508639301
ENSG00000154589	0.0000000000
ENSG00000066735	13.3215571864
ENSG00000154608	0.2112795471
ENSG00000154611	0.0000000000
ENSG00000154620	0.0000000000
ENSG00000154639	17.6353635318
ENSG00000154640	3.8186514112
ENSG00000154642	5.1658555692
ENSG00000154645	0.0632032588
ENSG00000154646	0.0000000000
ENSG00000154654	195.0469899841
ENSG00000154655	0.0515478662
ENSG00000066739	33.1862899751
ENSG00000154678	0.0913765008
ENSG00000154710	100.8895750243
ENSG00000154719	125.1611488758
ENSG00000154721	0.7902256580
ENSG00000154723	350.6782643707
ENSG00000154727	67.4675371674
ENSG00000154734	14.7670880417
ENSG00000154736	0.0000000000
ENSG00000154743	51.5206270504
ENSG00000154760	0.2794978921
ENSG00000066777	243.1396435830
ENSG00000154764	0.0000000000
ENSG00000154767	153.5762207913
ENSG00000154768	0.0000000000
ENSG00000154781	60.0997990858
ENSG00000154783	0.2797324103
ENSG00000154803	24.1587485212
ENSG00000154813	94.2331773335
ENSG00000154814	57.8254166630
ENSG00000154822	0.0000000000
