EnsEMBL_Gene_ID	EFM192A
ENSG00000000003	19.0983305261
ENSG00000001167	103.5353257785
ENSG00000005471	3.8240655320
ENSG00000066629	60.1489702358
ENSG00000154258	0.0000000000
ENSG00000154262	0.0000000000
ENSG00000154263	0.0647683037
ENSG00000154265	1.2048275399
ENSG00000154269	0.0000000000
ENSG00000154274	180.4683482708
ENSG00000154277	3.6179352591
ENSG00000154305	42.0358137338
ENSG00000154309	12.1038033539
ENSG00000154310	0.6777065492
ENSG00000066651	10.3299850580
ENSG00000154316	0.7754314127
ENSG00000154319	5.1098060191
ENSG00000154328	38.5671100647
ENSG00000154330	78.3447794820
ENSG00000154342	4.6052778561
ENSG00000154358	16.5086011306
ENSG00000154359	5.8261474663
ENSG00000154370	155.8336762165
ENSG00000154380	54.9753019808
ENSG00000154415	0.0000000000
ENSG00000066654	32.9289138327
ENSG00000154429	11.7857119270
ENSG00000154438	0.2239476412
ENSG00000154447	43.2988340479
ENSG00000154451	0.0000000000
ENSG00000154473	559.7794825925
ENSG00000154474	0.2496234564
ENSG00000154478	0.1633638381
ENSG00000154479	1.1330844963
ENSG00000154485	0.4289206392
ENSG00000154493	0.0000000000
ENSG00000066697	25.5464336281
ENSG00000154511	4.3926727694
ENSG00000154518	497.9957958655
ENSG00000154529	0.0000000000
ENSG00000154537	0.0000000000
ENSG00000154545	0.0000000000
ENSG00000154548	0.3335825445
ENSG00000154553	24.6019411519
ENSG00000154556	5.3458929687
ENSG00000154582	224.3828123677
ENSG00000154589	0.6949968323
ENSG00000066735	30.2011772099
ENSG00000154608	0.0000000000
ENSG00000154611	0.0000000000
ENSG00000154620	0.1235829207
ENSG00000154639	4.0539089878
ENSG00000154640	18.6751104018
ENSG00000154642	4.7160335301
ENSG00000154645	0.1362151847
ENSG00000154646	0.0000000000
ENSG00000154654	0.6986903833
ENSG00000154655	0.1060217663
ENSG00000066739	15.6301714641
ENSG00000154678	0.0000000000
ENSG00000154710	50.8237347066
ENSG00000154719	69.0012894313
ENSG00000154721	0.1740774592
ENSG00000154723	177.2398953816
ENSG00000154727	8.5106475228
ENSG00000154734	0.0000000000
ENSG00000154736	0.0000000000
ENSG00000154743	33.1691847123
ENSG00000154760	0.1184947124
ENSG00000066777	10.0982013300
ENSG00000154764	0.0000000000
ENSG00000154767	115.9198835891
ENSG00000154768	0.0000000000
ENSG00000154781	39.9098214572
ENSG00000154783	0.2558232547
ENSG00000154803	143.4578660496
ENSG00000154813	56.9364820718
ENSG00000154814	29.9791370530
ENSG00000154822	0.0000000000
ENSG00000154832	153.8651046917
ENSG00000066813	0.0000000000
ENSG00000154839	37.4315138539
ENSG00000154845	103.3928328092
ENSG00000154856	3.2835853357
