EnsEMBL_Gene_ID	EFM192B
ENSG00000000003	16.2480463138
ENSG00000001167	112.9715771504
ENSG00000005471	1.2250343701
ENSG00000066629	101.3601496963
ENSG00000154258	0.0000000000
ENSG00000154262	0.0000000000
ENSG00000154263	0.1350388620
ENSG00000154265	2.0715568158
ENSG00000154269	0.0000000000
ENSG00000154274	47.6102652821
ENSG00000154277	11.0548289177
ENSG00000154305	23.7012549703
ENSG00000154309	9.2064255770
ENSG00000154310	0.5174652559
ENSG00000066651	10.3015954406
ENSG00000154316	2.0960409877
ENSG00000154319	19.6867624564
ENSG00000154328	27.1812478915
ENSG00000154330	153.3282452324
ENSG00000154342	43.0882046626
ENSG00000154358	37.6301076391
ENSG00000154359	9.7487345159
ENSG00000154370	164.9223718811
ENSG00000154380	83.6423861095
ENSG00000154415	0.0000000000
ENSG00000066654	53.9198571912
ENSG00000154429	11.8604573913
ENSG00000154438	0.0000000000
ENSG00000154447	64.2617796869
ENSG00000154451	0.0000000000
ENSG00000154473	625.1068021435
ENSG00000154474	0.3480844196
ENSG00000154478	0.1137784183
ENSG00000154479	0.0988566171
ENSG00000154485	0.4485774110
ENSG00000154493	0.0925221154
ENSG00000066697	23.7759201299
ENSG00000154511	4.4107899286
ENSG00000154518	723.2568176001
ENSG00000154529	0.0000000000
ENSG00000154537	0.0000000000
ENSG00000154545	0.0000000000
ENSG00000154548	1.7176318742
ENSG00000154553	2.7227659484
ENSG00000154556	1.0764704131
ENSG00000154582	274.6332618596
ENSG00000154589	0.0000000000
ENSG00000066735	121.1136756740
ENSG00000154608	0.0000000000
ENSG00000154611	0.0000000000
ENSG00000154620	0.0000000000
ENSG00000154639	9.4055513044
ENSG00000154640	24.7962501187
ENSG00000154642	4.0141503804
ENSG00000154645	0.0000000000
ENSG00000154646	0.0000000000
ENSG00000154654	7.0268350266
ENSG00000154655	0.1123205880
ENSG00000066739	23.2227531143
ENSG00000154678	0.0663684911
ENSG00000154710	45.6301733821
ENSG00000154719	69.9427352646
ENSG00000154721	0.5010907322
ENSG00000154723	124.0903370477
ENSG00000154727	7.4499016223
ENSG00000154734	13.1047159105
ENSG00000154736	0.0000000000
ENSG00000154743	67.0182556436
ENSG00000154760	3.0771465272
ENSG00000066777	21.5210542249
ENSG00000154764	1.0019626284
ENSG00000154767	202.0226963091
ENSG00000154768	0.0000000000
ENSG00000154781	58.7833985686
ENSG00000154783	0.3802502900
ENSG00000154803	78.5672458892
ENSG00000154813	57.9457063803
ENSG00000154814	58.3806423523
ENSG00000154822	0.2037244679
ENSG00000154832	123.6107251402
ENSG00000066813	0.0000000000
ENSG00000154839	14.7721997197
ENSG00000154845	76.1379460472
ENSG00000154856	19.3299361201
ENSG00000154864	0.0000000000
ENSG00000154874	2.8301955140
ENSG00000154889	41.7826585586
ENSG00000154898	0.1466955547
ENSG00000154914	135.5483107530
ENSG00000154917	17.4726216169
ENSG00000154920	36.4195109091
ENSG00000066827	31.6395131917
ENSG00000154928	1.9859788426
ENSG00000154930	40.5166958322
ENSG00000154945	99.4936063864
ENSG00000154957	16.6279668869
ENSG00000154975	0.0000000000
ENSG00000154978	116.8655052364
ENSG00000154997	0.2258734572
ENSG00000154999	45.6585247327
ENSG00000155008	7.3028398114
ENSG00000155011	0.0000000000
ENSG00000066855	12.1846150382
ENSG00000155016	5.4915827353
ENSG00000155026	0.3992923696
ENSG00000155034	93.3490022473
ENSG00000155052	0.0000000000
ENSG00000155066	237.4786158115
ENSG00000155070	6.5375076720
ENSG00000155085	0.5219853996
ENSG00000155087	0.0000000000
ENSG00000155090	172.3183631478
ENSG00000155093	1.1023223352
ENSG00000005483	39.1076087332
ENSG00000066923	1.6432057175
ENSG00000155096	128.9311981451
ENSG00000155097	83.8123929442
ENSG00000155099	5.2325895986
ENSG00000155100	8.4994820683
ENSG00000155111	15.8626618916
ENSG00000155115	93.1193094758
ENSG00000155130	104.8845174938
ENSG00000155158	2.8571560954
ENSG00000155189	26.3711201060
ENSG00000155229	261.4742390720
ENSG00000066926	83.9609176924
ENSG00000155249	0.0000000000
ENSG00000155252	13.1515919726
ENSG00000155254	137.5452797143
ENSG00000155256	152.2823656047
ENSG00000155265	16.8576532518
ENSG00000155269	2.0954018305
ENSG00000155275	18.5090234122
ENSG00000155282	0.0000000000
ENSG00000155287	228.5032097329
ENSG00000155304	7.9943818499
ENSG00000066933	9.6860520918
ENSG00000155307	0.0000000000
ENSG00000155313	7.2436363983
ENSG00000155319	0.0000000000
ENSG00000155324	6.6478651844
ENSG00000155329	5.7810239474
ENSG00000155330	18.2370499162
ENSG00000155352	58.5943254701
ENSG00000155363	402.1475447715
ENSG00000155366	783.0406683358
ENSG00000155367	25.4640994167
ENSG00000067048	0.0000000000
ENSG00000155368	1248.1257588436
ENSG00000155372	0.4474074126
ENSG00000155380	35.9182894581
ENSG00000155393	57.3577612473
ENSG00000155428	0.7288239377
ENSG00000155438	89.9849407316
ENSG00000155463	691.7679513452
ENSG00000155465	4.2873146533
ENSG00000155495	0.2530597920
ENSG00000155506	805.8164443411
ENSG00000067057	611.6817405859
ENSG00000155508	48.4592108226
ENSG00000155511	0.0000000000
ENSG00000155530	0.0000000000
ENSG00000155542	5.8008319132
ENSG00000155545	12.5436603974
ENSG00000155561	63.5459257478
ENSG00000155592	11.8613082654
ENSG00000155621	14.2619566793
ENSG00000155622	0.0000000000
ENSG00000155629	1.3549292747
ENSG00000067064	86.1663059935
ENSG00000155636	39.9511440903
ENSG00000155640	7.4982482883
ENSG00000155657	0.4100176603
ENSG00000155659	0.0000000000
ENSG00000155660	635.5402591981
ENSG00000155666	33.7420676964
ENSG00000155714	0.3231650376
ENSG00000155719	0.0000000000
ENSG00000155729	32.0900683969
ENSG00000155744	5.2614556245
ENSG00000067066	7.5839860678
ENSG00000155749	0.0977243897
ENSG00000155754	0.1392789883
ENSG00000155755	5.4879455821
ENSG00000155760	7.4402908527
ENSG00000155761	0.4801330605
ENSG00000155792	36.6432707173
ENSG00000155816	0.0000000000
ENSG00000155827	44.7025313479
ENSG00000155833	0.0000000000
ENSG00000155846	32.7582045947
ENSG00000067082	90.8218846755
ENSG00000155849	6.4431530090
ENSG00000155850	2.5997365643
ENSG00000155858	14.0313769919
ENSG00000155868	10.3374455910
ENSG00000155875	0.5554922344
ENSG00000155876	184.1962967759
ENSG00000155886	0.1893710409
ENSG00000155890	0.6715382672
ENSG00000155893	7.2746308898
ENSG00000155897	0.0000000000
ENSG00000067113	5.5397641664
ENSG00000155903	3.7166566245
ENSG00000155906	22.1464822868
ENSG00000155918	6.8418010465
ENSG00000155926	0.8671315039
ENSG00000155957	53.9085683416
ENSG00000155959	57.0930131177
ENSG00000155961	2.6463418028
ENSG00000155962	0.3160206374
ENSG00000155966	0.0925953660
ENSG00000155970	0.0000000000
ENSG00000067141	47.6296432587
ENSG00000155974	15.9187570833
ENSG00000155975	40.3868743493
ENSG00000155980	4.3359248583
ENSG00000155984	121.0825737717
ENSG00000156006	1.3024753377
ENSG00000156009	0.9585849956
ENSG00000156011	8.2482991498
ENSG00000156017	11.6306889169
ENSG00000156026	20.1681733619
ENSG00000156030	333.7603613090
ENSG00000005486	784.7180138732
ENSG00000067167	381.9635355804
ENSG00000156035	0.0000000000
ENSG00000156042	0.7033874862
ENSG00000156049	2.2128673518
ENSG00000156050	15.5226375097
ENSG00000156052	58.4615220410
ENSG00000156076	0.0000000000
ENSG00000156096	0.0000000000
ENSG00000156097	0.0000000000
ENSG00000156103	0.5940634153
ENSG00000156110	53.4532433562
ENSG00000067177	35.4258381630
ENSG00000156113	0.5534552065
ENSG00000156127	238.7919000229
ENSG00000156136	22.1175437548
ENSG00000156140	1.1773223082
ENSG00000156150	15.1900364333
ENSG00000156162	10.6638198842
ENSG00000156170	21.3545169421
ENSG00000156171	21.2289218493
ENSG00000156172	3.0063041266
ENSG00000156194	0.3631321907
ENSG00000067182	346.8187449896
ENSG00000156206	0.0000000000
ENSG00000156218	7.6375209030
ENSG00000156219	0.0000000000
ENSG00000156222	4.2607894892
ENSG00000156232	27.9039287360
ENSG00000156234	0.0000000000
ENSG00000156239	10.3285720219
ENSG00000156253	12.6468897843
ENSG00000156256	19.0515419547
ENSG00000156261	269.9509271568
ENSG00000067191	78.6128441909
ENSG00000156265	0.1403272267
ENSG00000156269	0.0000000000
ENSG00000156273	7.4088760096
ENSG00000156282	0.0000000000
ENSG00000156284	0.2073694415
ENSG00000156298	0.6637420031
ENSG00000156299	13.1743012753
ENSG00000156304	81.0386898351
ENSG00000156313	2.2183493669
ENSG00000156345	37.0286850420
ENSG00000067208	7.0916406571
ENSG00000156363	0.1697173466
ENSG00000156374	20.3589364023
ENSG00000156381	64.2661522211
ENSG00000156384	9.4967838038
ENSG00000156395	0.0000000000
ENSG00000156398	86.2098158080
ENSG00000156411	180.4860885811
ENSG00000156413	1.0217737136
ENSG00000156414	0.4934351521
ENSG00000156427	4.6518311683
ENSG00000067221	74.9576765078
ENSG00000156453	143.5720882056
ENSG00000156463	5.7735787918
ENSG00000156466	0.8702484486
ENSG00000156467	135.2483664980
ENSG00000156469	34.2734088860
ENSG00000156471	330.9844115738
ENSG00000156475	0.5789306012
ENSG00000156482	5242.4552559726
ENSG00000156486	1.8943754577
ENSG00000156500	0.6952867607
ENSG00000067225	11433.9250056798
ENSG00000156502	63.3242709145
ENSG00000156504	48.1051741215
ENSG00000156508	5029.4790070761
