EnsEMBL_Gene_ID	EFM192C
ENSG00000000003	1.1394799588
ENSG00000001167	80.8550744211
ENSG00000005471	1.9199999586
ENSG00000066629	114.0446564996
ENSG00000154258	0.0681193364
ENSG00000154262	0.1215497979
ENSG00000154263	0.0321547966
ENSG00000154265	1.9789731534
ENSG00000154269	0.0000000000
ENSG00000154274	39.3959621733
ENSG00000154277	4.7144673171
ENSG00000154305	32.9586133178
ENSG00000154309	8.3921486184
ENSG00000154310	1.7152901807
ENSG00000066651	2.6970325517
ENSG00000154316	6.0013666540
ENSG00000154319	16.8531616206
ENSG00000154328	70.8365410909
ENSG00000154330	221.8204340978
ENSG00000154342	24.1779769648
ENSG00000154358	9.3669616870
ENSG00000154359	6.5834534486
ENSG00000154370	144.1281828736
ENSG00000154380	59.7426339953
ENSG00000154415	0.0000000000
ENSG00000066654	34.0768400230
ENSG00000154429	9.2735158898
ENSG00000154438	0.0000000000
ENSG00000154447	43.8436680746
ENSG00000154451	0.0000000000
ENSG00000154473	701.4452342769
ENSG00000154474	0.0000000000
ENSG00000154478	2.7359625690
ENSG00000154479	0.5935709815
ENSG00000154485	0.4489035770
ENSG00000154493	0.0000000000
ENSG00000066697	14.5042690584
ENSG00000154511	1.1916155245
ENSG00000154518	314.8768020664
ENSG00000154529	0.0000000000
ENSG00000154537	0.0000000000
ENSG00000154545	0.0000000000
ENSG00000154548	0.2880080248
ENSG00000154553	69.9166833469
ENSG00000154556	2.3643457870
ENSG00000154582	235.5147239519
ENSG00000154589	0.0000000000
ENSG00000066735	126.7243728218
ENSG00000154608	0.0000000000
ENSG00000154611	0.0000000000
ENSG00000154620	0.0000000000
ENSG00000154639	3.5208764413
ENSG00000154640	5.1634477496
ENSG00000154642	1.1430313915
ENSG00000154645	0.0000000000
ENSG00000154646	0.0000000000
ENSG00000154654	0.5512023230
ENSG00000154655	0.0000000000
ENSG00000066739	20.3367286496
ENSG00000154678	0.0000000000
ENSG00000154710	38.9902265648
ENSG00000154719	38.1847296643
ENSG00000154721	0.5881552588
ENSG00000154723	64.9265992318
ENSG00000154727	4.9175910440
ENSG00000154734	0.5026324571
ENSG00000154736	0.0000000000
ENSG00000154743	41.6377263419
ENSG00000154760	1.1712551382
ENSG00000066777	14.4963929001
ENSG00000154764	0.0000000000
ENSG00000154767	157.8516805354
ENSG00000154768	0.4162481277
ENSG00000154781	41.9786408314
ENSG00000154783	0.3442394275
ENSG00000154803	102.7536519079
ENSG00000154813	41.6868598849
ENSG00000154814	15.4672064765
ENSG00000154822	0.0000000000
ENSG00000154832	248.4850093803
ENSG00000066813	0.0000000000
ENSG00000154839	23.5513138257
ENSG00000154845	106.7571381897
ENSG00000154856	6.8612887978
ENSG00000154864	0.0000000000
ENSG00000154874	2.0247865736
ENSG00000154889	51.1628412109
ENSG00000154898	0.1938542120
ENSG00000154914	81.4482031719
ENSG00000154917	5.0789861306
ENSG00000154920	63.9604204941
ENSG00000066827	49.3043785347
ENSG00000154928	1.0923519092
ENSG00000154930	279.0670790700
ENSG00000154945	348.3243428717
ENSG00000154957	14.3175876734
ENSG00000154975	0.0000000000
ENSG00000154978	132.3103136089
ENSG00000154997	0.7820468074
ENSG00000154999	16.5958021954
ENSG00000155008	7.8476423059
ENSG00000155011	0.0000000000
ENSG00000066855	17.3100341161
ENSG00000155016	3.2919014072
ENSG00000155026	0.7991653997
ENSG00000155034	67.3918580774
ENSG00000155052	0.0000000000
ENSG00000155066	217.4449230819
ENSG00000155070	5.1136599081
ENSG00000155085	0.3482432943
ENSG00000155087	0.0000000000
ENSG00000155090	245.1113721052
ENSG00000155093	29.9538869462
ENSG00000005483	44.5132043341
ENSG00000066923	0.6924130632
ENSG00000155096	427.2948494413
ENSG00000155097	248.9172574446
ENSG00000155099	14.9565811760
ENSG00000155100	23.5033874872
ENSG00000155111	10.6237694664
ENSG00000155115	53.6410446456
ENSG00000155130	20.5101515615
ENSG00000155158	3.5406939007
ENSG00000155189	18.8314761598
ENSG00000155229	251.3672605839
ENSG00000066926	142.1603959166
ENSG00000155249	0.0000000000
ENSG00000155252	0.7164338218
ENSG00000155254	32.3583543645
ENSG00000155256	128.5534287419
ENSG00000155265	113.2861031121
ENSG00000155269	0.2213263639
ENSG00000155275	11.1385816397
ENSG00000155282	0.0000000000
ENSG00000155287	214.9439329824
ENSG00000155304	3.1134884967
ENSG00000066933	6.3456854863
ENSG00000155307	0.0000000000
ENSG00000155313	3.7863813366
ENSG00000155319	0.0000000000
ENSG00000155324	11.8401126445
ENSG00000155329	7.8500310842
ENSG00000155330	7.8988536428
ENSG00000155352	85.1470805136
ENSG00000155363	363.0166244197
ENSG00000155366	3327.9194782817
ENSG00000155367	371.7104077491
ENSG00000067048	0.0454899109
ENSG00000155368	817.0810596640
ENSG00000155372	0.0000000000
ENSG00000155380	16.6312356900
ENSG00000155393	37.5055868621
