EnsEMBL_Gene_ID	HCC1143
ENSG00000000003	216.9301429561
ENSG00000001167	285.9004187433
ENSG00000005471	0.0000000000
ENSG00000066629	16.9524872071
ENSG00000154258	0.1023039893
ENSG00000154262	0.0608492384
ENSG00000154263	0.1018030537
ENSG00000154265	5.6637457945
ENSG00000154269	0.2043484885
ENSG00000154274	2.1796924591
ENSG00000154277	96.8809934966
ENSG00000154305	67.8835968504
ENSG00000154309	24.8493824706
ENSG00000154310	11.9903822006
ENSG00000066651	39.0152733264
ENSG00000154316	0.0000000000
ENSG00000154319	5.0239564712
ENSG00000154328	64.3761313847
ENSG00000154330	0.0000000000
ENSG00000154342	0.4338572104
ENSG00000154358	14.2468764041
ENSG00000154359	7.8131937567
ENSG00000154370	97.9493392483
ENSG00000154380	96.8937552625
ENSG00000154415	0.0000000000
ENSG00000066654	45.3712986413
ENSG00000154429	14.9220951268
ENSG00000154438	0.0000000000
ENSG00000154447	62.3422700910
ENSG00000154451	0.6512658888
ENSG00000154473	382.3842303567
ENSG00000154474	1.5694361998
ENSG00000154478	0.0411946863
ENSG00000154479	2.2227491019
ENSG00000154485	0.0000000000
ENSG00000154493	0.0667824969
ENSG00000066697	61.2128539727
ENSG00000154511	10.3222128058
ENSG00000154518	847.2201106707
ENSG00000154529	4.9337740529
ENSG00000154537	0.4530161470
ENSG00000154545	0.0000000000
ENSG00000154548	1.2422782140
ENSG00000154553	2.2099509736
ENSG00000154556	76.1446703674
ENSG00000154582	875.9915945793
ENSG00000154589	0.0000000000
ENSG00000066735	39.0194026389
ENSG00000154608	0.1776502571
ENSG00000154611	0.0000000000
ENSG00000154620	0.0000000000
ENSG00000154639	42.4421524608
ENSG00000154640	168.3338634301
ENSG00000154642	25.8816464571
ENSG00000154645	15.2597285025
ENSG00000154646	0.0000000000
ENSG00000154654	0.1180430646
ENSG00000154655	34.2239294646
ENSG00000066739	19.1702458048
ENSG00000154678	0.0744821224
ENSG00000154710	55.7474260703
ENSG00000154719	198.4869937964
ENSG00000154721	1.2984353437
ENSG00000154723	219.3948767732
ENSG00000154727	19.1316995069
ENSG00000154734	46.7303338375
ENSG00000154736	0.1410910427
ENSG00000154743	37.0153181684
ENSG00000154760	25.2360756858
ENSG00000066777	66.9429724317
ENSG00000154764	48.5521325728
ENSG00000154767	91.6909611054
ENSG00000154768	0.0000000000
ENSG00000154781	65.8692284535
ENSG00000154783	0.0000000000
ENSG00000154803	55.3014003004
ENSG00000154813	87.9235769354
ENSG00000154814	28.2775822359
ENSG00000154822	0.0000000000
ENSG00000154832	189.4961018478
ENSG00000066813	0.0000000000
ENSG00000154839	88.0655554562
ENSG00000154845	477.2942841232
ENSG00000154856	286.5457292410
ENSG00000154864	0.0000000000
ENSG00000154874	0.8039315707
ENSG00000154889	51.5134029121
ENSG00000154898	1.0211366203
ENSG00000154914	68.5303506862
ENSG00000154917	43.0062068960
ENSG00000154920	80.2078719421
ENSG00000066827	28.5315080666
ENSG00000154928	64.6480392565
ENSG00000154930	50.5550808894
ENSG00000154945	197.8415614478
ENSG00000154957	25.6390701631
ENSG00000154975	0.0000000000
ENSG00000154978	432.9286075647
ENSG00000154997	2.6897740973
ENSG00000154999	395.6332700485
ENSG00000155008	42.5794383651
ENSG00000155011	0.0000000000
ENSG00000066855	170.5654706964
ENSG00000155016	3.9813538669
ENSG00000155026	0.0000000000
