EnsEMBL_Gene_ID	ZR75B
ENSG00000000003	2.2938981848
ENSG00000001167	61.6255191139
ENSG00000005471	0.5565311150
ENSG00000066629	32.5281120565
ENSG00000154258	0.1778082057
ENSG00000154262	0.1057582795
ENSG00000154263	0.2211719508
ENSG00000154265	4.3831737628
ENSG00000154269	0.0000000000
ENSG00000154274	14.9768081572
ENSG00000154277	0.3345631269
ENSG00000154305	73.2248399984
ENSG00000154309	8.7401544321
ENSG00000154310	13.9700865306
ENSG00000066651	18.5119398411
ENSG00000154316	2.1044289220
ENSG00000154319	1.1712377097
ENSG00000154328	195.4780911510
ENSG00000154330	0.2241315464
ENSG00000154342	2.4758311659
ENSG00000154358	6.7604755518
ENSG00000154359	36.4690287009
ENSG00000154370	192.4844157247
ENSG00000154380	61.8682701038
ENSG00000154415	0.0000000000
ENSG00000066654	62.7865679400
ENSG00000154429	21.7009090202
ENSG00000154438	0.0000000000
ENSG00000154447	42.3830214027
ENSG00000154451	0.0000000000
ENSG00000154473	265.5607656199
ENSG00000154474	0.2273116267
ENSG00000154478	0.0000000000
ENSG00000154479	0.5113587703
ENSG00000154485	0.0000000000
ENSG00000154493	0.0000000000
ENSG00000066697	24.0921446191
ENSG00000154511	6.5350752019
ENSG00000154518	475.2270263117
ENSG00000154529	9.2923426177
ENSG00000154537	0.7873592106
ENSG00000154545	0.0000000000
ENSG00000154548	0.1483759957
ENSG00000154553	0.8880310928
ENSG00000154556	0.2738663689
ENSG00000154582	831.0856320792
ENSG00000154589	0.9493149967
ENSG00000066735	54.0092784811
ENSG00000154608	0.3067315364
ENSG00000154611	0.0000000000
ENSG00000154620	0.0000000000
ENSG00000154639	20.6944633378
ENSG00000154640	64.4943152920
ENSG00000154642	4.4147544029
ENSG00000154645	0.0000000000
ENSG00000154646	0.0000000000
ENSG00000154654	4.7291043789
ENSG00000154655	0.0000000000
ENSG00000066739	19.6867923139
ENSG00000154678	0.0433410081
ENSG00000154710	60.4727019081
ENSG00000154719	128.6295899931
ENSG00000154721	0.9478892793
ENSG00000154723	217.0456539661
ENSG00000154727	19.5903208141
ENSG00000154734	27.2056891888
ENSG00000154736	0.0000000000
ENSG00000154743	41.7130677090
ENSG00000154760	5.2914933518
ENSG00000066777	131.1306807827
ENSG00000154764	2.1243797730
ENSG00000154767	154.1368232634
ENSG00000154768	0.5289587620
ENSG00000154781	63.8044889545
ENSG00000154783	0.0998388321
ENSG00000154803	30.8091315525
ENSG00000154813	70.7567893189
ENSG00000154814	36.5654679017
ENSG00000154822	6.5495643693
ENSG00000154832	284.6677061999
ENSG00000066813	0.0000000000
ENSG00000154839	71.8088784747
ENSG00000154845	167.5439313056
ENSG00000154856	5.1236014437
ENSG00000154864	0.0000000000
ENSG00000154874	0.4472588337
ENSG00000154889	83.1490136779
ENSG00000154898	0.0000000000
ENSG00000154914	14.1891201652
ENSG00000154917	13.4353242692
ENSG00000154920	102.2618110212
ENSG00000066827	14.2582289039
ENSG00000154928	5.6088207801
ENSG00000154930	0.7462969328
ENSG00000154945	124.9842334544
ENSG00000154957	13.3051129339
ENSG00000154975	0.0000000000
ENSG00000154978	362.3201714830
ENSG00000154997	1.8185688734
ENSG00000154999	239.2863512580
ENSG00000155008	45.1040531529
ENSG00000155011	0.0000000000
ENSG00000066855	88.5173257892
ENSG00000155016	11.5052375663
ENSG00000155026	0.3453823755
ENSG00000155034	82.0502344152
ENSG00000155052	0.1050442326
ENSG00000155066	267.0594627686
ENSG00000155070	0.7261737465
ENSG00000155085	7.1613695821
ENSG00000155087	0.0000000000
ENSG00000155090	239.3266697801
ENSG00000155093	3.4826510173
ENSG00000005483	48.6844752450
ENSG00000066923	2.0041877520
ENSG00000155096	354.0108547376
ENSG00000155097	87.2772445786
ENSG00000155099	3.7241810464
ENSG00000155100	17.6018759190
ENSG00000155111	14.2079363928
ENSG00000155115	93.0127749063
ENSG00000155130	40.3198443778
ENSG00000155158	14.4985420600
ENSG00000155189	52.0920450181
ENSG00000155229	231.1659759180
ENSG00000066926	251.3426755311
ENSG00000155249	0.0000000000
ENSG00000155252	1.5398672863
ENSG00000155254	1.9082826491
ENSG00000155256	72.1334829715
ENSG00000155265	5.3770158914
ENSG00000155269	0.1444290480
ENSG00000155275	25.2810745083
ENSG00000155282	0.0000000000
ENSG00000155287	116.5913303196
ENSG00000155304	21.0185778437
ENSG00000066933	22.4830032817
ENSG00000155307	0.0000000000
ENSG00000155313	11.2122048025
ENSG00000155319	0.0000000000
ENSG00000155324	15.9765545976
ENSG00000155329	27.8496411997
ENSG00000155330	22.3834780404
ENSG00000155352	46.0709444073
ENSG00000155363	88.0646059236
ENSG00000155366	719.0773816374
ENSG00000155367	31.5038865603
ENSG00000067048	0.0000000000
ENSG00000155368	1048.0376736489
ENSG00000155372	0.0000000000
ENSG00000155380	69.8204258901
ENSG00000155393	46.4520609500
ENSG00000155428	0.1828643105
ENSG00000155438	123.7914510829
ENSG00000155463	1246.3548554145
ENSG00000155465	0.4252815855
ENSG00000155495	0.0000000000
ENSG00000155506	587.7548962056
ENSG00000067057	817.0390503245
ENSG00000155508	83.1506710556
ENSG00000155511	0.0000000000
ENSG00000155530	0.4094267895
ENSG00000155542	10.7862326957
ENSG00000155545	21.8690941667
ENSG00000155561	234.2113165211
ENSG00000155592	13.4290143999
ENSG00000155621	8.7049942229
ENSG00000155622	0.0000000000
ENSG00000155629	0.3313444077
ENSG00000067064	241.5349455857
ENSG00000155636	48.3144289771
ENSG00000155640	8.4730252111
ENSG00000155657	0.0024492774
ENSG00000155659	0.0000000000
ENSG00000155660	737.2075291008
ENSG00000155666	15.7841144884
ENSG00000155714	0.0000000000
ENSG00000155719	0.2152983686
ENSG00000155729	35.4747424009
ENSG00000155744	10.0184794549
ENSG00000067066	8.7187955062
ENSG00000155749	1.1636340334
ENSG00000155754	0.0000000000
ENSG00000155755	11.5621387531
ENSG00000155760	8.5236469931
ENSG00000155761	0.0000000000
ENSG00000155792	28.9212436607
ENSG00000155816	0.0000000000
ENSG00000155827	165.6105424309
ENSG00000155833	0.0000000000
ENSG00000155846	11.4966751612
ENSG00000067082	238.7958341979
ENSG00000155849	8.7143872597
ENSG00000155850	7.5642462065
ENSG00000155858	20.4333330354
ENSG00000155868	33.2978082439
ENSG00000155875	1.0080808828
ENSG00000155876	265.7132660743
ENSG00000155886	0.0000000000
ENSG00000155890	0.0000000000
ENSG00000155893	26.7021798300
ENSG00000155897	0.0000000000
ENSG00000067113	13.3422387532
ENSG00000155903	8.7803326251
ENSG00000155906	1211.0246987594
ENSG00000155918	0.4161187579
ENSG00000155926	0.0000000000
ENSG00000155957	104.2776123362
ENSG00000155959	117.5978283840
ENSG00000155961	4.2383080496
ENSG00000155962	0.3041283742
ENSG00000155966	0.0803589215
ENSG00000155970	0.5624864153
ENSG00000067141	53.5979721375
ENSG00000155974	18.0638246570
ENSG00000155975	53.4956538937
ENSG00000155980	0.1980032835
ENSG00000155984	95.0741272547
ENSG00000156006	0.0000000000
ENSG00000156009	0.3150145377
ENSG00000156011	42.7262659662
ENSG00000156017	22.3359535893
ENSG00000156026	169.6672683351
ENSG00000156030	109.1006565803
ENSG00000005486	354.6237710856
ENSG00000067167	258.6959279454
ENSG00000156035	0.0000000000
ENSG00000156042	3.9473127380
ENSG00000156049	0.1452530726
ENSG00000156050	4.1214563931
