,Subtype
EnsEMBL_Gene_ID,Unclassified
GSM1172844_184A1,Unclassified
GSM1172845_184B5,Unclassified
GSM1172846_21MT1,Unclassified
GSM1172847_21MT2,Unclassified
GSM1172848_21NT,Unclassified
GSM1172849_21PT,Unclassified
GSM1172850_600MPE,Unclassified
GSM1172851_AU565,Unclassified
GSM1172853_BT474,Unclassified
GSM1172854_BT483,Unclassified
GSM1172855_BT549,Unclassified
GSM1172856_CAMA1,Unclassified
GSM1172858_EFM192A,Unclassified
GSM1172859_EFM192B,Unclassified
GSM1172860_EFM192C,Unclassified
GSM1172861_HCC1143,Unclassified
GSM1172863_HCC1395,Unclassified
GSM1172864_HCC1419,Unclassified
GSM1172865_HCC1428,Unclassified
GSM1172867_HCC1569,Unclassified
GSM1172868_HCC1599,Unclassified
GSM1172869_HCC1806,Unclassified
GSM1172870_HCC1937,Unclassified
GSM1172871_HCC1954,Unclassified
GSM1172872_HCC202,Unclassified
GSM1172873_HCC2218,Unclassified
GSM1172874_HCC3153,Unclassified
GSM1172875_HCC38,Unclassified
GSM1172876_HCC70,Unclassified
GSM1172877_HS578T,Unclassified
GSM1172878_JIMT1,Unclassified
GSM1172879_LY2,Unclassified
GSM1172881_MB157,Unclassified
GSM1172882_MCF10A,Unclassified
GSM1172883_MCF10F,Unclassified
GSM1172884_MCF12A,Unclassified
GSM1172885_MCF7,Unclassified
GSM1172886_MDAMB134v1,Unclassified
GSM1172888_MDAMB175VII,Unclassified
GSM1172889_MDAMB231,Unclassified
GSM1172890_MDAMB361,Unclassified
GSM1172893_MX1,Unclassified
GSM1172895_SKBR3,Unclassified
GSM1172896_SUM1315,Unclassified
GSM1172897_SUM149PT,Unclassified
GSM1172901_SUM225CWN,Unclassified
GSM1172902_SUM229PE,Unclassified
GSM1172903_SUM52PE,Unclassified
GSM1172904_T47D,Unclassified
GSM1172905_T47DKBluc,Unclassified
GSM1172906_UACC812,Unclassified
GSM1172907_UACC893,Unclassified
GSM1172908_ZR751,Luminal A
GSM1172909_ZR7530,Luminal A
GSM1172910_ZR75B,Luminal A
GSM1384316_MDAMB453,Unclassified
