,Luminal A,Unclassified
EnsEMBL_Gene_ID,False,True
GSM1172844_184A1,False,True
GSM1172845_184B5,False,True
GSM1172846_21MT1,False,True
GSM1172847_21MT2,False,True
GSM1172848_21NT,False,True
GSM1172849_21PT,False,True
GSM1172850_600MPE,False,True
GSM1172851_AU565,False,True
GSM1172853_BT474,False,True
GSM1172854_BT483,False,True
GSM1172855_BT549,False,True
GSM1172856_CAMA1,False,True
GSM1172858_EFM192A,False,True
GSM1172859_EFM192B,False,True
GSM1172860_EFM192C,False,True
GSM1172861_HCC1143,False,True
GSM1172863_HCC1395,False,True
GSM1172864_HCC1419,False,True
GSM1172865_HCC1428,False,True
GSM1172906_UACC812,False,True
GSM1172907_UACC893,False,True
GSM1172908_ZR751,True,False
GSM1172909_ZR7530,True,False
GSM1172910_ZR75B,True,False
GSM1384316_MDAMB453,False,True
