,Pathway_1,Pathway_2,Pathway_3,Pathway_4,Pathway_5,Pathway_6,Pathway_7,Pathway_8,Pathway_9,Pathway_10,Pathway_11,Pathway_12,Pathway_13,Pathway_14,Pathway_15,Pathway_16,Pathway_17,Pathway_18,Pathway_19,Pathway_20,Pathway_21,Pathway_22,Pathway_23,Pathway_24,Pathway_25,Pathway_26,Pathway_27,Pathway_28,Pathway_29,Pathway_30,Pathway_31,Pathway_32,Pathway_33,Pathway_34,Pathway_35,Pathway_36,Pathway_37,Pathway_38,Pathway_39,Pathway_40,Pathway_41,Pathway_42,Pathway_43,Pathway_44,Pathway_45,Pathway_46,Pathway_47,Pathway_48,Pathway_49,Pathway_50,Pathway_51,Pathway_52,Pathway_53,Pathway_54,Pathway_55,Pathway_56,Pathway_57,Pathway_58,Pathway_59,Pathway_60,Pathway_61,Pathway_62,Pathway_63,Pathway_64,Pathway_65,Pathway_66,Pathway_67,Pathway_68,Pathway_69,Pathway_70,Pathway_71,Pathway_72,Pathway_73,Pathway_74,Pathway_75,Pathway_76,Pathway_77,Pathway_78,Pathway_79,Pathway_80,Pathway_81,Pathway_82,Pathway_83,Pathway_84,Pathway_85,Pathway_86,Pathway_87,Pathway_88,Pathway_89,Pathway_90,Pathway_91,Pathway_92,Pathway_93,Pathway_94,Pathway_95,Pathway_96,Pathway_97,Pathway_98,Pathway_99,Pathway_100,Pathway_101,Pathway_102,Pathway_103,Pathway_104,Pathway_105,Pathway_106,Pathway_107,Pathway_108,Pathway_109,Pathway_110,Pathway_111,Pathway_112,Pathway_113
ENSG00000085563,ABC transporters,Bile secretion,Gastric cancer,MicroRNAs in cancer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000069431,ABC transporters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000001626,ABC transporters,AMPK signaling pathway,Bile secretion,Gastric acid secretion,Pancreatic secretion,Tight junction,Vibrio cholerae infection,cAMP signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000119688,ABC transporters,Peroxisome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000131269,ABC transporters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000023839,ABC transporters,Bile secretion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000135776,ABC transporters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000154262,ABC transporters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000179869,ABC transporters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000117528,ABC transporters,Peroxisome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000198691,ABC transporters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000125257,ABC transporters,Bile secretion,cAMP signaling pathway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000121270,ABC transporters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000144452,ABC transporters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000173208,ABC transporters,Peroxisome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000164825,ABC transporters,Staphylococcus aureus infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000141338,ABC transporters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
