Iteration,A_l1,A_inf,B_l1,B_inf,G_A_l1,G_A_inf,G_B_l1,G_B_inf
0,153.62797931622808,0.14457553349412597,8.896645081326948,2.395393518143065,1.0,1.0,1.0,1.0
1,15905.939234169598,11.744546551259239,97.2384215326453,8.890700380663796,1.0,1.0,1.0,1.0
2,983193.7914197891,697.7901375050064,9119.254030871438,1600.9224210364268,1.0,1.0,1.0,1.0
3,3111834.91354014,1611.3521588119165,18159.254030871452,1448.8907003805691,1.0,1.0,1.0,1.0
4,5400321.132074915,2316.2603646202274,27199.254030871445,3040.9224210363554,1.0,1.0,1.0,1.0
5,7690733.746227437,3916.2603646202274,36239.25403087144,4165.00060928021,1.0,1.0,1.0,1.0
6,9982109.700622534,5274.164066577334,45279.25403087143,5760.92242103591,1.0,1.0,1.0,1.0
7,12274023.902314624,6874.164066577335,54319.25403087142,7202.680327453708,1.0,1.0,1.0,1.0
8,14566246.440722765,8393.28845785755,63359.254030871445,8800.922421035204,1.0,1.0,1.0,1.0
9,16858693.01574378,9993.288457857563,72399.25403087145,10242.680327452741,1.0,1.0,1.0,1.0
